YR--MODAHRMN,SPD,TEMP,DEWP,PCP01,SD,IDX
201401010051,10,30,12,0,0,2014010100
201401010151,8,30,11,0,0,2014010101
201401010251,8,28,8,0,0,2014010102
201401010351,7,27,5,0,0,2014010103
201401010451,10,26,5,0,0,2014010104
201401010459,NA,NA,NA,NA,0,2014010104
201401010551,3,25,6,0,0,2014010105
201401010651,9,25,5,0,0,2014010106
201401010751,9,24,6,0,0,2014010107
201401010851,9,24,6,0,0,2014010108
201401010951,0,24,7,0,0,2014010109
201401011051,3,24,9,0,0,2014010110
201401011151,5,25,9,0,0,2014010111
201401011251,5,26,11,0,0,2014010112
201401011351,6,28,12,0,0,2014010113
201401011451,9,28,12,0,0,2014010114
201401011551,10,29,12,0,0,2014010115
201401011651,7,30,12,0,0,2014010116
201401011751,0,31,14,0,0,2014010117
201401011851,8,32,15,0,0,2014010118
201401011951,8,32,16,0,0,2014010119
201401012051,0,32,16,0,0,2014010120
201401012151,0,32,15,0,0,2014010121
201401012251,0,33,15,0,0,2014010122
201401012351,5,32,17,0,0,2014010123
201401020051,6,33,18,0,0,2014010200
201401020151,5,32,18,0,0,2014010201
201401020251,7,32,19,0,0,2014010202
201401020258,8,32,19,NA,0,2014010202
201401020351,11,32,19,0,0,2014010203
201401020451,8,32,19,0,0,2014010204
201401020459,NA,NA,NA,NA,0,2014010204
201401020551,6,33,20,0,0,2014010205
201401020651,8,32,20,0,0,2014010206
201401020751,8,32,22,0,0,2014010207
201401020851,16,30,23,0,0,2014010208
201401020915,11,29,23,0,0,2014010209
201401020951,10,29,22,0,0,2014010209
201401021020,13,28,22,0,0,2014010210
201401021036,16,27,22,0.01,0,2014010210
201401021051,9,28,22,0.02,0,2014010210
201401021151,17,27,21,0,0,2014010211
201401021251,15,27,20,0,0,2014010212
201401021351,15,27,19,0,0,2014010213
201401021451,14,26,20,0,0,2014010214
201401021551,10,26,19,0,0,2014010215
201401021651,13,26,19,0,0,2014010216
201401021751,11,26,19,0,0,2014010217
201401021851,9,26,19,0,0,2014010218
201401021951,10,26,19,0,0,2014010219
201401022051,10,26,19,0,0,2014010220
201401022151,15,26,19,0,0,2014010221
201401022251,16,25,19,0,0,2014010222
201401022349,14,25,18,NA,0,2014010223
201401022351,9,25,18,0,0,2014010223
201401030018,13,24,19,NA,0,2014010300
201401030030,15,24,19,NA,0,2014010300
201401030046,16,25,19,NA,0,2014010300
201401030051,15,23,19,0.04,0,2014010300
201401030113,16,23,19,NA,0,2014010301
201401030135,15,23,18,NA,0,2014010301
201401030151,17,22,18,0.06,0,2014010301
201401030251,14,21,16,0.08,0,2014010302
201401030351,15,20,14,0.07,0,2014010303
201401030451,9,18,14,0.06,0,2014010304
201401030459,NA,NA,NA,NA,0,2014010304
201401030537,13,17,12,0.04,0,2014010305
201401030551,10,16,11,0.06,0,2014010305
201401030651,14,12,7,0.05,0,2014010306
201401030751,13,11,6,0.06,0,2014010307
201401030817,11,11,6,NA,0,2014010308
201401030851,11,11,6,0.04,0,2014010308
201401030951,15,11,6,0.03,0,2014010309
201401031019,13,11,6,NA,0,2014010310
201401031047,13,10,7,NA,0,2014010310
201401031051,13,11,5,0.03,0,2014010310
201401031110,10,11,5,NA,0,2014010311
201401031136,15,11,5,NA,0,2014010311
201401031149,11,10,5,NA,0,2014010311
201401031151,9,11,5,0,0,2014010311
201401031216,11,11,5,NA,0,2014010312
201401031251,9,10,3,0.02,0,2014010312
201401031336,5,11,3,NA,0,2014010313
201401031349,13,10,3,NA,0,2014010313
201401031351,16,11,3,0,0,2014010313
201401031400,10,11,4,NA,0,2014010314
201401031422,11,12,4,NA,0,2014010314
201401031431,5,12,5,NA,0,2014010314
201401031451,NA,13,5,0,0,2014010314
201401031551,NA,14,4,0,0,2014010315
201401031651,8,18,3,0,0,2014010316
201401031751,15,18,2,0,0,2014010317
201401031851,10,18,1,0,0,2014010318
201401031951,11,16,-1,0,0,2014010319
201401032051,11,16,-2,0,0,2014010320
201401032151,11,15,-3,0,0,2014010321
201401032251,8,14,-3,0,0,2014010322
201401032351,10,13,-5,0,0,2014010323
201401040051,9,12,-7,0,0,2014010400
201401040151,7,11,-6,0,0,2014010401
201401040251,6,11,-6,0,0,2014010402
201401040351,5,10,-5,0,0,2014010403
201401040451,7,9,-5,0,0,2014010404
201401040459,NA,NA,NA,NA,6,2014010404
201401040549,7,9,-5,NA,0,2014010405
201401040551,5,9,-5,0,0,2014010405
201401040651,0,8,-5,0,0,2014010406
201401040751,0,8,-5,0,0,2014010407
201401040851,0,9,-4,0,0,2014010408
201401040951,0,10,-1,0,0,2014010409
201401041051,3,11,-1,0,0,2014010410
201401041151,5,11,0,0,0,2014010411
201401041251,0,11,1,0,0,2014010412
201401041351,6,14,1,0,0,2014010413
201401041451,3,18,-1,0,0,2014010414
201401041551,6,20,-3,0,0,2014010415
201401041651,6,21,-1,0,0,2014010416
201401041751,8,22,-2,0,0,2014010417
201401041851,9,24,-1,0,0,2014010418
201401041951,8,25,1,0,0,2014010419
201401042051,5,25,4,0,0,2014010420
201401042151,3,26,4,0,0,2014010421
201401042251,5,26,7,0,0,2014010422
201401042351,3,28,7,0,0,2014010423
201401050051,7,29,9,0,0,2014010500
