YR--MODAHRMN,SPD,TEMP,DEWP,PCP01,SD,IDX
201401050151,7,28,10,0,0,2014010501
201401050251,5,27,11,0,0,2014010502
201401050351,3,27,13,0,0,2014010503
201401050451,6,28,16,0,0,2014010504
201401050459,NA,NA,NA,NA,6,2014010504
201401050551,7,29,17,0,0,2014010505
201401050651,5,29,17,0,0,2014010506
201401050751,3,27,17,0,0,2014010507
201401050851,5,28,18,0,0,2014010508
201401050951,0,28,19,0,0,2014010509
201401051051,0,28,19,0,0,2014010510
201401051135,3,28,19,NA,0,2014010511
201401051151,5,29,19,0,0,2014010511
201401051159,3,29,19,NA,0,2014010511
201401051251,3,30,20,0,0,2014010512
201401051334,3,31,22,NA,0,2014010513
201401051351,0,31,23,0,0,2014010513
201401051418,0,31,26,NA,0,2014010514
201401051423,0,31,26,0.01,0,2014010514
201401051432,0,31,26,0.01,0,2014010514
201401051451,0,32,28,0.02,0,2014010514
201401051459,0,31,28,0,0,2014010514
201401051501,0,31,28,0,0,2014010515
201401051529,0,31,28,0.02,0,2014010515
201401051537,0,31,28,0.03,0,2014010515
201401051539,0,32,29,0.03,0,2014010515
201401051551,0,32,29,0.04,0,2014010515
201401051630,0,32,29,0.01,0,2014010516
201401051637,0,32,29,0.02,0,2014010516
201401051651,0,32,29,0.03,0,2014010516
201401051726,3,32,30,0.01,0,2014010517
201401051739,5,32,29,0.02,0,2014010517
201401051751,5,32,29,0.02,0,2014010517
201401051816,5,32,29,0,0,2014010518
201401051824,8,32,29,0,0,2014010518
201401051835,8,32,29,0,0,2014010518
201401051851,5,32,29,0,0,2014010518
201401051951,5,33,30,0,0,2014010519
201401052049,6,34,30,NA,0,2014010520
201401052051,6,34,30,0,0,2014010520
201401052143,8,34,31,NA,0,2014010521
201401052149,7,36,32,NA,0,2014010521
201401052151,6,35,32,0,0,2014010521
201401052242,7,35,32,NA,0,2014010522
201401052251,6,35,32,0,0,2014010522
201401052325,6,35,33,NA,0,2014010523
201401052348,8,36,34,NA,0,2014010523
201401052349,7,36,33,0,0,2014010523
201401052351,7,36,33,NA,0,2014010523
201401060049,6,36,34,NA,0,2014010600
201401060051,5,36,34,0,0,2014010600
201401060151,3,37,35,0.02,0,2014010601
201401060205,6,38,35,NA,0,2014010602
201401060226,6,37,35,NA,0,2014010602
201401060251,3,38,36,0.01,0,2014010602
201401060351,5,40,38,0,0,2014010603
201401060451,7,49,47,0,0,2014010604
201401060459,NA,NA,NA,NA,4,2014010604
201401060523,5,51,49,NA,0,2014010605
201401060543,NA,51,49,NA,0,2014010605
201401060551,6,51,50,0.06,0,2014010605
201401060559,8,52,50,NA,0,2014010605
201401060651,9,52,50,0.03,0,2014010606
201401060659,6,51,50,NA,0,2014010606
201401060721,11,52,50,NA,0,2014010607
201401060733,11,53,51,NA,0,2014010607
201401060741,13,54,51,NA,0,2014010607
201401060751,10,54,52,0,0,2014010607
201401060830,7,53,51,NA,0,2014010608
201401060837,10,53,51,NA,0,2014010608
201401060851,7,53,51,0,0,2014010608
201401060859,6,53,51,NA,0,2014010608
201401060951,6,53,51,0,0,2014010609
201401061001,8,53,51,NA,0,2014010610
201401061051,8,52,51,0,0,2014010610
201401061151,10,53,52,0,0,2014010611
201401061239,9,54,52,NA,0,2014010612
201401061247,8,54,52,NA,0,2014010612
201401061251,10,54,52,0.03,0,2014010612
201401061258,10,55,53,NA,0,2014010612
201401061318,7,55,53,NA,0,2014010613
201401061325,9,55,53,NA,0,2014010613
201401061337,8,55,53,NA,0,2014010613
201401061347,9,54,52,NA,0,2014010613
201401061351,7,55,52,0.14,0,2014010613
201401061355,7,53,51,NA,0,2014010613
201401061404,3,50,47,NA,0,2014010614
201401061406,3,50,47,NA,0,2014010614
201401061451,NA,48,44,0.04,0,2014010614
201401061502,NA,48,43,NA,0,2014010615
201401061512,5,47,43,NA,0,2014010615
201401061551,6,47,42,0.05,0,2014010615
201401061649,9,46,39,NA,0,2014010616
201401061651,7,47,39,0,0,2014010616
201401061733,6,45,38,NA,0,2014010617
201401061751,13,43,35,0,0,2014010617
201401061759,6,41,33,NA,0,2014010617
201401061851,9,40,31,0.01,0,2014010618
201401061951,6,40,30,0,0,2014010619
201401062051,8,41,27,0,0,2014010620
201401062151,6,39,21,0,0,2014010621
201401062251,9,37,18,0,0,2014010622
201401062351,7,36,15,0,0,2014010623
201401070051,11,34,16,0,0,2014010700
201401070151,NA,32,14,0,0,2014010701
201401070251,NA,30,10,0,0,2014010702
201401070351,15,25,6,0,0,2014010703
201401070451,NA,20,3,0,0,2014010704
201401070459,NA,NA,NA,NA,1,2014010704
201401070551,15,14,-8,0,0,2014010705
201401070651,17,12,-8,0,0,2014010706
201401070751,15,11,-9,0,0,2014010707
201401070851,14,9,-11,0,0,2014010708
201401070951,22,8,-12,0,0,2014010709
201401071051,11,6,-14,0,0,2014010710
201401071151,11,5,-14,0,0,2014010711
201401071251,14,4,-15,0,0,2014010712
201401071351,21,4,-16,0,0,2014010713
201401071451,15,5,-16,0,0,2014010714
201401071551,15,6,-16,0,0,2014010715
201401071651,18,7,-16,0,0,2014010716
201401071751,9,8,-15,0,0,2014010717
201401071851,16,9,-14,0,0,2014010718
201401071951,14,10,-12,0,0,2014010719
201401072051,17,9,-13,0,0,2014010720
201401072151,11,9,-11,0,0,2014010721
201401072251,15,9,-11,0,0,2014010722
201401072351,16,9,-10,0,0,2014010723
201401080051,5,9,-10,0,0,2014010800
201401080151,6,9,-9,0,0,2014010801
201401080251,5,9,-9,0,0,2014010802
201401080351,7,9,-9,0,0,2014010803
201401080451,5,9,-8,0,0,2014010804
201401080459,NA,NA,NA,NA,0,2014010804
201401080551,NA,9,-8,0,0,2014010805
201401080651,8,9,-8,0,0,2014010806
201401080751,10,9,-7,0,0,2014010807
201401080851,5,9,-7,0,0,2014010808
201401080951,13,9,-6,0,0,2014010809
201401081051,13,9,-6,0,0,2014010810
201401081151,13,9,-6,0,0,2014010811
201401081251,7,9,-5,0,0,2014010812
201401081351,5,10,-5,0,0,2014010813
201401081451,10,12,-5,0,0,2014010814
201401081551,9,14,-4,0,0,2014010815
201401081651,5,16,-3,0,0,2014010816
201401081751,6,19,-2,0,0,2014010817
201401081851,6,20,-2,0,0,2014010818
201401081951,5,21,-1,0,0,2014010819
201401082051,6,21,0,0,0,2014010820
201401082151,6,20,-1,0,0,2014010821
201401082251,7,20,-1,0,0,2014010822
201401082351,NA,21,0,0,0,2014010823
201401090051,9,21,0,0,0,2014010900
201401090151,5,21,0,0,0,2014010901
201401090251,0,21,0,0,0,2014010902
201401090351,6,22,0,0,0,2014010903
201401090451,5,22,2,0,0,2014010904
201401090459,NA,NA,NA,NA,0,2014010904
201401090551,5,22,2,0,0,2014010905
201401090651,7,23,2,0,0,2014010906
201401090751,NA,24,3,0,0,2014010907
201401090851,0,23,4,0,0,2014010908
201401090951,7,23,8,0,0,2014010909
201401091051,NA,23,9,0,0,2014010910
201401091151,3,22,9,0,0,2014010911
201401091251,3,22,9,0,0,2014010912
201401091351,0,23,9,0,0,2014010913
201401091451,6,25,8,0,0,2014010914
201401091551,3,26,8,0,0,2014010915
201401091651,3,29,8,0,0,2014010916
201401091751,0,30,8,0,0,2014010917
201401091851,0,31,7,0,0,2014010918
201401091951,3,32,7,0,0,2014010919
201401092051,5,31,7,0,0,2014010920
201401092151,0,31,7,0,0,2014010921
201401092251,0,30,7,0,0,2014010922
201401092351,0,30,7,0,0,2014010923
201401100051,3,30,11,0,0,2014011000
201401100151,0,29,11,0,0,2014011001
201401100251,3,29,12,0,0,2014011002
201401100351,7,30,12,0,0,2014011003
201401100451,5,30,14,0,0,2014011004
201401100459,NA,NA,NA,NA,0,2014011004
201401100551,8,31,16,0,0,2014011005
201401100651,3,32,18,0,0,2014011006
201401100717,0,31,18,NA,0,2014011007
201401100746,3,32,18,NA,0,2014011007
201401100751,0,31,18,0,0,2014011007
201401100851,3,31,18,0,0,2014011008
201401100951,3,31,19,0,0,2014011009
201401101051,5,31,19,0,0,2014011010
201401101110,3,32,18,NA,0,2014011011
201401101151,6,32,21,0,0,2014011011
201401101251,3,32,22,0.01,0,2014011012
201401101303,3,32,22,0.03,0,2014011013
201401101324,3,32,23,0.03,0,2014011013
201401101336,5,33,23,0.03,0,2014011013
201401101349,0,34,23,0.03,0,2014011013
201401101351,0,33,23,0.01,0,2014011013
201401101432,0,32,27,0.17,0,2014011014
201401101451,5,32,27,0.02,0,2014011014
201401101458,3,32,28,0.15,0,2014011014
201401101535,5,33,29,0.51,0,2014011015
201401101544,5,33,29,0.51,0,2014011015
201401101551,5,33,29,0.01,0,2014011015
201401101559,3,33,29,0.13,0,2014011015
201401101629,3,33,30,0.33,0,2014011016
201401101637,3,33,30,0.33,0,2014011016
201401101647,5,34,30,0.33,0,2014011016
201401101651,5,34,30,0.05,0,2014011016
201401101735,0,34,30,NA,0,2014011017
201401101746,0,34,30,NA,0,2014011017
201401101751,3,34,29,0,0,2014011017
201401101800,0,34,30,NA,0,2014011018
201401101818,0,34,30,NA,0,2014011018
201401101849,0,36,30,NA,0,2014011018
201401101851,0,35,30,0,0,2014011018
201401101908,0,35,31,NA,0,2014011019
201401101951,3,35,31,0,0,2014011019
201401101959,0,35,32,NA,0,2014011019
201401102038,3,35,32,NA,0,2014011020
201401102051,3,35,32,0,0,2014011020
201401102101,3,35,32,NA,0,2014011021
201401102110,3,35,33,NA,0,2014011021
201401102151,0,35,33,0,0,2014011021
201401102242,3,35,33,NA,0,2014011022
201401102251,5,35,33,0,0,2014011022
201401102320,5,35,33,NA,0,2014011023
201401102351,3,35,33,0,0,2014011023
201401110051,5,37,34,0,0,2014011100
201401110151,5,37,34,0,0,2014011101
201401110203,5,37,34,NA,0,2014011102
201401110221,5,36,34,NA,0,2014011102
201401110251,3,36,34,0,0,2014011102
201401110302,3,36,34,NA,0,2014011103
201401110346,6,36,34,NA,0,2014011103
201401110351,6,36,34,0,0,2014011103
201401110408,5,37,34,NA,0,2014011104
201401110411,3,37,34,NA,0,2014011104
201401110423,5,37,34,NA,0,2014011104
201401110451,3,37,34,0.01,0,2014011104
201401110459,NA,NA,NA,NA,0,2014011104
201401110502,3,37,34,0,0,2014011105
201401110551,3,37,34,0.01,0,2014011105
201401110607,3,37,34,0,0,2014011106
201401110620,3,37,34,0.01,0,2014011106
201401110629,0,37,35,0.01,0,2014011106
201401110651,3,37,35,0.01,0,2014011106
201401110742,6,37,35,0.06,0,2014011107
201401110749,5,37,36,NA,0,2014011107
201401110751,5,38,35,0.07,0,2014011107
201401110758,3,39,36,NA,0,2014011107
201401110809,3,39,37,NA,0,2014011108
201401110816,3,40,38,NA,0,2014011108
201401110851,5,42,39,0,0,2014011108
201401110911,5,42,40,NA,0,2014011109
201401110915,3,42,40,NA,0,2014011109
201401110949,6,46,43,NA,0,2014011109
201401110951,7,46,44,0.01,0,2014011109
201401111025,8,49,46,0.03,0,2014011110
201401111051,7,49,46,0.02,0,2014011110
201401111104,8,50,47,0.01,0,2014011111
201401111114,6,50,47,0.01,0,2014011111
201401111151,7,51,48,0.01,0,2014011111
201401111251,8,53,50,0.01,0,2014011112
201401111305,6,53,51,NA,0,2014011113
201401111315,5,53,51,NA,0,2014011113
201401111341,8,54,52,NA,0,2014011113
201401111351,7,54,52,0,0,2014011113
201401111404,7,55,53,NA,0,2014011114
201401111433,8,54,52,NA,0,2014011114
201401111449,6,54,52,NA,0,2014011114
201401111451,8,53,52,0,0,2014011114
201401111515,6,53,51,0.02,0,2014011115
201401111526,9,54,52,0.02,0,2014011115
201401111534,7,55,52,0.02,0,2014011115
201401111549,5,55,54,NA,0,2014011115
201401111551,NA,56,54,0.02,0,2014011115
201401111651,10,56,54,0.01,0,2014011116
201401111709,9,57,54,NA,0,2014011117
201401111751,11,55,53,0,0,2014011117
201401111839,7,55,53,NA,0,2014011118
201401111851,8,55,53,0,0,2014011118
201401111923,10,55,53,NA,0,2014011119
201401111939,9,56,54,NA,0,2014011119
201401111951,9,56,54,0,0,2014011119
201401112016,8,56,54,0,0,2014011120
201401112051,9,55,53,0,0,2014011120
201401112125,9,54,52,0.01,0,2014011121
201401112143,6,54,52,0.02,0,2014011121
201401112149,7,55,54,NA,0,2014011121
201401112151,7,56,54,0.03,0,2014011121
201401112156,7,57,54,0.01,0,2014011121
201401112222,7,57,54,0.04,0,2014011122
201401112236,8,58,55,NA,0,2014011122
201401112249,7,57,55,NA,0,2014011122
201401112251,7,57,55,0.18,0,2014011122
201401112351,3,57,54,0.09,0,2014011123
201401120051,6,57,52,0.03,0,2014011200
201401120151,7,55,52,0,0,2014011201
201401120249,5,55,52,NA,0,2014011202
201401120251,7,54,52,0,0,2014011202
201401120319,NA,56,52,NA,0,2014011203
201401120331,10,56,52,NA,0,2014011203
201401120349,7,55,52,NA,0,2014011203
201401120351,10,55,51,0,0,2014011203
201401120401,6,56,51,NA,0,2014011204
201401120413,8,55,51,NA,0,2014011204
201401120444,9,54,50,NA,0,2014011204
201401120451,7,55,50,0,0,2014011204
201401120459,NA,NA,NA,NA,0,2014011204
201401120505,NA,54,50,NA,0,2014011205
201401120521,5,54,50,NA,0,2014011205
201401120529,5,53,50,0,0,2014011205
201401120533,8,53,50,0.03,0,2014011205
201401120538,11,53,48,0.05,0,2014011205
201401120546,11,52,46,0.05,0,2014011205
201401120551,11,52,45,0.05,0,2014011205
201401120651,10,51,41,0,0,2014011206
201401120751,13,50,38,0,0,2014011207
201401120851,8,48,35,0,0,2014011208
201401120951,9,46,33,0,0,2014011209
201401121051,9,45,29,0,0,2014011210
201401121151,6,44,27,0,0,2014011211
201401121251,8,44,28,0,0,2014011212
201401121351,8,44,26,0,0,2014011213
201401121451,9,45,25,0,0,2014011214
201401121551,6,44,25,0,0,2014011215
201401121651,8,44,25,0,0,2014011216
201401121751,7,44,24,0,0,2014011217
201401121851,14,45,24,0,0,2014011218
201401121951,8,45,24,0,0,2014011219
201401122051,NA,45,24,0,0,2014011220
201401122151,7,44,25,0,0,2014011221
201401122251,9,42,25,0,0,2014011222
201401122351,6,42,25,0,0,2014011223
201401130051,9,41,25,0,0,2014011300
201401130151,3,39,25,0,0,2014011301
201401130251,6,39,25,0,0,2014011302
201401130351,6,38,25,0,0,2014011303
201401130451,8,39,25,0,0,2014011304
201401130459,NA,NA,NA,NA,0,2014011304
201401130551,6,38,25,NA,0,2014011305
201401130651,7,38,25,NA,0,2014011306
201401130751,3,37,25,NA,0,2014011307
201401130851,6,37,25,NA,0,2014011308
201401130951,0,37,26,NA,0,2014011309
201401131051,3,38,26,NA,0,2014011310
201401131151,0,37,27,NA,0,2014011311
201401131251,0,40,27,NA,0,2014011312
201401131351,5,41,29,NA,0,2014011313
201401131451,5,45,29,NA,0,2014011314
201401131551,0,47,30,NA,0,2014011315
201401131651,NA,48,34,NA,0,2014011316
201401131751,5,50,37,NA,0,2014011317
201401131851,5,49,38,NA,0,2014011318
201401131951,6,50,36,NA,0,2014011319
201401132051,7,50,36,NA,0,2014011320
201401132151,8,49,35,NA,0,2014011321
201401132251,8,49,35,NA,0,2014011322
201401132351,11,49,34,NA,0,2014011323
201401140051,7,50,33,NA,0,2014011400
201401140251,NA,48,35,NA,0,2014011402
201401140351,6,49,34,NA,0,2014011403
201401140451,7,50,35,NA,0,2014011404
201401140459,NA,NA,NA,NA,0,2014011404
201401140551,7,49,36,NA,0,2014011405
201401140651,7,49,37,NA,0,2014011406
201401140751,6,49,38,NA,0,2014011407
201401140851,5,49,38,NA,0,2014011408
201401140951,10,51,37,NA,0,2014011409
201401141051,3,50,39,0,0,2014011410
201401141151,3,50,39,NA,0,2014011411
201401141251,5,48,42,0.05,0,2014011412
201401141351,7,47,42,0.04,0,2014011413
201401141451,6,47,44,0.04,0,2014011414
201401141551,5,48,45,0.03,0,2014011415
201401141741,6,48,45,0,0,2014011417
201401141851,0,48,45,0.02,0,2014011418
201401141951,7,48,45,0.08,0,2014011419
201401142051,6,47,44,0.06,0,2014011420
201401142151,3,47,42,0.02,0,2014011421
201401142251,5,46,43,0.05,0,2014011422
201401142351,3,46,42,0.01,0,2014011423
201401150051,7,46,41,NA,0,2014011500
201401150151,0,47,41,0,0,2014011501
201401150251,7,47,41,NA,0,2014011502
201401150351,0,45,40,NA,0,2014011503
201401150451,6,45,40,NA,0,2014011504
201401150459,NA,NA,NA,NA,0,2014011504
201401150551,3,44,40,NA,0,2014011505
201401150651,NA,41,37,NA,0,2014011506
201401150751,NA,41,37,NA,0,2014011507
201401150851,NA,41,37,NA,0,2014011508
201401150951,NA,39,36,NA,0,2014011509
201401151051,NA,39,34,NA,0,2014011510
201401151151,NA,39,36,NA,0,2014011511
201401151251,NA,39,36,NA,0,2014011512
201401151351,NA,41,37,NA,0,2014011513
201401151451,NA,43,36,NA,0,2014011514
201401151651,NA,45,34,NA,0,2014011516
201401151751,NA,45,36,NA,0,2014011517
201401151951,NA,45,37,NA,0,2014011519
201401152051,NA,43,37,NA,0,2014011520
201401152151,NA,41,37,NA,0,2014011521
201401152251,NA,41,37,NA,0,2014011522
201401152351,NA,41,37,NA,0,2014011523
201401160051,NA,41,39,NA,0,2014011600
201401160151,NA,41,39,NA,0,2014011601
201401160251,NA,41,39,NA,0,2014011602
201401160351,NA,41,39,NA,0,2014011603
201401160451,NA,41,39,NA,0,2014011604
201401160459,NA,NA,NA,NA,0,2014011604
201401160551,NA,41,39,NA,0,2014011605
201401160651,NA,39,37,NA,0,2014011606
201401160751,NA,39,32,NA,0,2014011607
201401160851,NA,41,28,NA,0,2014011608
201401160951,NA,41,28,NA,0,2014011609
201401161051,NA,39,30,NA,0,2014011610
201401161151,NA,39,32,NA,0,2014011611
201401161251,NA,39,34,NA,0,2014011612
201401161351,NA,39,34,NA,0,2014011613
201401161451,NA,39,32,NA,0,2014011614
201401161551,NA,39,32,NA,0,2014011615
201401161651,NA,37,32,NA,0,2014011616
201401161751,NA,39,30,NA,0,2014011617
201401161845,5,40,29,NA,0,2014011618
201401161951,NA,38,28,NA,0,2014011619
201401162051,NA,38,28,NA,0,2014011620
201401162151,NA,38,28,NA,0,2014011621
201401162251,NA,37,27,NA,0,2014011622
201401162351,NA,36,27,NA,0,2014011623
201401170051,NA,36,27,NA,0,2014011700
201401170151,NA,36,27,NA,0,2014011701
201401170251,NA,36,26,NA,0,2014011702
201401170351,NA,36,28,NA,0,2014011703
201401170451,NA,35,28,NA,0,2014011704
201401170459,NA,NA,NA,NA,0,2014011704
201401170551,NA,35,28,NA,0,2014011705
201401170651,NA,35,26,NA,0,2014011706
201401170751,NA,34,24,NA,0,2014011707
201401170851,NA,33,20,NA,0,2014011708
201401170951,NA,34,18,NA,0,2014011709
201401171051,NA,34,18,NA,0,2014011710
201401171151,NA,34,16,NA,0,2014011711
201401171251,NA,34,18,NA,0,2014011712
201401171351,NA,36,19,NA,0,2014011713
201401171451,NA,37,19,NA,0,2014011714
201401171551,NA,39,25,NA,0,2014011715
201401171651,NA,41,25,NA,0,2014011716
201401171751,NA,45,27,NA,0,2014011717
201401171851,NA,43,27,NA,0,2014011718
201401171951,NA,45,25,NA,0,2014011719
201401172051,NA,45,25,NA,0,2014011720
201401172151,NA,43,23,NA,0,2014011721
201401172251,NA,41,23,NA,0,2014011722
201401172351,NA,41,23,NA,0,2014011723
201401180051,NA,41,23,NA,0,2014011800
201401180151,NA,39,23,NA,0,2014011801
201401180251,NA,41,23,NA,0,2014011802
201401180351,NA,39,25,NA,0,2014011803
201401180451,NA,39,25,NA,0,2014011804
201401180459,NA,NA,NA,NA,0,2014011804
201401180551,NA,39,27,NA,0,2014011805
201401180651,NA,39,27,NA,0,2014011806
201401180751,NA,39,28,NA,0,2014011807
201401180851,NA,39,30,NA,0,2014011808
201401180951,NA,37,30,NA,0,2014011809
201401181051,NA,39,32,NA,0,2014011810
201401181151,NA,37,32,NA,0,2014011811
201401181251,NA,37,34,NA,0,2014011812
201401181551,NA,34,32,NA,0,2014011815
201401181651,NA,34,34,NA,0,2014011816
201401181751,NA,37,30,NA,0,2014011817
201401181851,NA,37,30,NA,0,2014011818
201401181951,NA,37,25,NA,0,2014011819
201401182051,NA,36,21,NA,0,2014011820
201401182151,NA,36,21,NA,0,2014011821
201401182251,NA,36,21,NA,0,2014011822
201401182351,NA,32,19,NA,0,2014011823
201401190051,NA,30,19,NA,0,2014011900
201401190151,NA,30,18,NA,0,2014011901
201401190251,NA,30,18,NA,0,2014011902
201401190351,NA,30,21,NA,0,2014011903
201401190451,NA,28,18,NA,0,2014011904
201401190459,NA,NA,NA,NA,0,2014011904
201401190551,NA,28,18,NA,0,2014011905
201401190651,NA,27,19,NA,0,2014011906
201401190751,NA,27,18,NA,0,2014011907
201401190851,NA,25,16,NA,0,2014011908
201401190951,NA,25,16,NA,0,2014011909
201401191051,NA,27,14,NA,0,2014011910
201401191151,NA,25,16,NA,0,2014011911
201401191251,NA,25,12,NA,0,2014011912
201401191351,NA,25,12,NA,0,2014011913
201401191451,NA,25,12,NA,0,2014011914
201401191551,NA,27,12,NA,0,2014011915
201401191651,NA,28,10,NA,0,2014011916
201401191751,NA,30,12,NA,0,2014011917
201401191851,NA,32,14,NA,0,2014011918
201401191951,NA,34,18,NA,0,2014011919
201401192051,NA,36,18,NA,0,2014011920
201401192151,NA,36,18,NA,0,2014011921
201401192251,NA,36,18,NA,0,2014011922
201401192351,NA,36,19,NA,0,2014011923
201401200051,NA,36,21,NA,0,2014012000
201401200151,NA,36,21,NA,0,2014012001
201401200251,NA,36,16,NA,0,2014012002
201401200351,NA,37,19,NA,0,2014012003
201401200451,NA,37,19,NA,0,2014012004
201401200459,NA,NA,NA,NA,0,2014012004
201401200551,NA,37,19,NA,0,2014012005
201401200651,NA,36,19,NA,0,2014012006
201401200751,NA,36,18,NA,0,2014012007
201401200851,NA,37,19,NA,0,2014012008
201401200951,NA,36,19,NA,0,2014012009
201401201051,NA,37,21,NA,0,2014012010
201401201151,NA,37,21,NA,0,2014012011
201401201251,NA,37,23,NA,0,2014012012
201401201351,NA,39,23,NA,0,2014012013
201401201451,NA,39,23,NA,0,2014012014
201401201551,NA,39,23,NA,0,2014012015
201401201651,NA,41,21,NA,0,2014012016
201401201751,NA,45,21,NA,0,2014012017
201401201851,NA,45,21,NA,0,2014012018
201401201951,NA,45,21,NA,0,2014012019
201401202051,NA,43,21,NA,0,2014012020
201401202151,NA,43,25,NA,0,2014012021
201401202251,NA,43,25,NA,0,2014012022
201401202351,NA,41,25,NA,0,2014012023
201401210051,NA,39,25,NA,0,2014012100
